,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,21.359223300970875,813.4060510693083,0.19387104435164745,200,15,0.005111999999999999
1,inf,2.632382042295496,inf,0,0,0.074296
2,inf,0.0,,0,0,0.143488
3,inf,0.0,,0,0,0.21267999999999998
4,inf,0.0,,0,0,0.281868
5,inf,0.0,,0,0,0.35106
6,inf,0.0,,0,0,0.42024799999999995
7,inf,0.0,,0,0,0.489436
