,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,21.836228287841195,808.1412869847173,0.20527567905784527,200,15,0.004408
1,29.2358803986711,816.0384331116038,0.1595624516187315,150,14,0.0073479999999999995
2,40.00000000000001,808.1412869847173,0.3208425645636281,150,23,0.009531999999999999
3,inf,2.632382042295496,inf,0,0,0.078724
4,inf,0.0,,0,0,0.14790799999999998
5,inf,0.0,,0,0,0.217104
6,inf,0.0,,0,0,0.286288
7,inf,0.0,,0,0,0.35547999999999996
