,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,22.000000000000004,802.8765229001264,0.21110799417308465,100,22,0.004448
1,33.97683397683398,809.4574780058651,0.2876862577369441,0,0,0.007379999999999999
2,40.00000000000001,804.192713921274,0.19371227525427412,0,0,0.009576
3,43.781094527363194,805.5089049424219,0.13727128781201864,0,0,0.011644
4,inf,1.0801564027370478,inf,0,0,0.080832
5,inf,0.0,,0,0,0.150024
6,inf,0.0,,0,0,0.219212
7,inf,0.0,,0,0,0.288404
