,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,20.657276995305164,796.2955677943877,0.18921448695503934,100,28,0.005235999999999999
1,32.11678832116789,804.192713921274,0.2629197530269885,0,0,0.008303999999999999
2,37.60683760683761,800.2441408578309,0.1680614230683902,0,0,0.010572
3,42.307692307692314,800.2441408578309,0.16493560052503867,0,0,0.012707999999999999
4,inf,1.0801564027370478,inf,0,0,0.0819
5,inf,0.0,,0,0,0.151088
6,inf,0.0,,0,0,0.22028
7,inf,0.0,,0,0,0.289468
