,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,20.853080568720383,798.9279498366832,0.1915499522042648,100,32,0.005183999999999999
1,33.33333333333334,804.192713921274,0.2940020499289192,0,0,0.008211999999999999
2,38.2608695652174,798.9279498366832,0.15539938297452696,0,0,0.010452
3,43.781094527363194,800.2441408578309,0.19884041215271533,0,0,0.01258
4,inf,1.0801564027370478,inf,0,0,0.08176399999999999
5,inf,0.0,,0,0,0.15095999999999998
6,inf,0.0,,0,0,0.22014799999999998
7,inf,0.0,,0,0,0.289336
