,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,21.103117505995204,801.5603318789786,0.19488465150548567,100,33,0.0053159999999999995
1,32.83582089552239,805.5089049424219,0.27423105196107417,0,0,0.008355999999999999
2,39.111111111111114,801.5603318789786,0.19757432066157535,0,0,0.010596
3,36.21399176954733,802.8765229001264,-0.09518432550702309,0,0,0.012799999999999999
4,45.12820512820513,802.8765229001264,0.3162701757857389,0,0,0.014759999999999999
5,inf,2.1603128054740957,inf,0,0,0.083956
6,inf,0.0,,0,0,0.153148
7,inf,0.0,,0,0,0.22234399999999999
