,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,20.18348623853211,794.9793767732399,0.1812330821015625,100,33,0.005451999999999999
1,32.11678832116789,800.2441408578309,0.27401632192353864,0,0,0.008548
2,38.59649122807018,796.2955677943877,0.20317221339506375,0,0,0.010836
3,39.28571428571429,794.9793767732399,0.023880485407862938,0,0,0.012976
4,43.13725490196079,793.6631857520922,0.14169910295724178,0,0,0.01496
5,inf,2.1603128054740957,inf,0,0,0.08416
6,inf,0.0,,0,0,0.15334799999999998
7,inf,0.0,,0,0,0.222544
