,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,22.85714285714286,895.0098943804688,0.18337707773078266,200,30,0.004572
1,34.645669291338585,897.6422764227643,0.2365368692418215,150,14,0.007388
2,39.46188340807175,892.3775123381732,0.12601662898969604,150,23,0.009556
3,41.509433962264154,896.3260854016164,0.05802172046049568,100,32,0.011692
4,46.560846560846564,893.6937033593209,0.15661078336414336,100,32,0.013699999999999999
5,48.88888888888889,877.0869990224829,0.08121515725133077,100,35,0.015576
6,53.333333333333336,896.3260854016164,0.1589964997885887,100,38,0.017408
7,54.320987654320994,883.1641751901391,0.0383274902253509,0,0,0.021352
