,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,21.945137157107233,806.8250959635695,0.20800541340144843,200,30,0.0048
1,33.20754716981132,812.0898600481606,0.264817479927983,150,14,0.007731999999999999
2,38.42794759825328,808.1412869847173,0.16099571860020054,150,23,0.009972
3,40.93023255813954,808.1412869847173,0.08548909331222698,100,32,0.012188
4,45.833333333333336,810.7736690270128,0.18195574639058187,100,32,0.014303999999999999
5,47.05882352941177,797.1554252199413,0.05036858044451764,100,35,0.016312
6,53.65853658536586,814.7222420904561,0.2815574850455238,100,38,0.018288
7,inf,1.316191021147748,inf,0,0,0.087476
