,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,21.307506053268767,800.2441408578309,0.199332021062491,100,35,0.005196
1,32.95880149812734,808.1412869847173,0.27219912963127163,0,0,0.008211999999999999
2,38.93805309734514,802.8765229001264,0.1875063746346339,0,0,0.010456
3,38.0952380952381,804.192713921274,-0.028225866158887294,0,0,0.01266
4,42.10526315789474,805.5089049424219,0.1393606980539368,0,0,0.014639999999999999
5,51.16279069767443,777.7126099706745,0.3927002084692078,0,0,0.016448
6,inf,2.632382042295496,inf,0,0,0.085644
7,inf,0.0,,0,0,0.154836
