,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,21.782178217821784,798.9279498366832,0.20899900554078205,100,35,0.0051519999999999995
1,33.97683397683398,806.8250959635695,0.2936856017177173,0,0,0.008156
2,39.111111111111114,802.8765229001264,0.16367576382058532,0,0,0.010392
3,37.288135593220346,801.5603318789786,-0.06094727814376705,0,0,0.012584
4,44.44444444444445,802.8765229001264,0.2551194686281208,0,0,0.014551999999999999
5,53.333333333333336,750.7086999022483,0.43361228472844005,0,0,0.016375999999999998
6,inf,2.632382042295496,inf,0,0,0.085564
7,inf,0.0,,0,0,0.15475999999999998
