,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,20.46511627906977,804.192713921274,0.18208115533045982,100,28,0.00534
1,32.83582089552239,809.4574780058651,0.2829424035206346,0,0,0.008364
2,39.28571428571429,804.192713921274,0.202233950726788,0,0,0.010624
3,40.552995391705075,804.192713921274,0.0439868676638654,0,0,0.012851999999999999
4,44.67005076142132,808.1412869847173,0.15105183534601102,0,0,0.015007999999999999
5,45.36082474226804,793.9149560117302,0.027741907079295802,0,0,0.017072
6,49.438202247191015,810.7736690270128,0.16532645965938847,0,0,0.019128
7,inf,1.316191021147748,inf,0,0,0.08831599999999999
