,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,14.915254237288138,781.8174665617624,0.10233104727035193,200,20.3,0.004848
1,inf,2.632382042295496,inf,0,0.0,0.07404
2,inf,0.0,,0,0.0,0.143228
3,inf,0.0,,0,0.0,0.212416
4,inf,0.0,,0,0.0,0.28160799999999997
5,inf,0.0,,0,0.0,0.350796
6,inf,0.0,,0,0.0,0.419988
7,inf,0.0,,0,0.0,0.489172
