,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,20.902612826603328,735.7507808215912,0.2269324096145845,150,20,0.005088
1,32.47232472324724,801.5603318789786,0.27023669874864764,0,0,0.008136
2,34.10852713178295,797.6117588155354,0.048145989231180165,0,0,0.0104
3,42.10526315789474,798.9279498366832,0.26846515572847446,0,0,0.012496
4,inf,1.0801564027370478,inf,0,0,0.08168
5,inf,0.0,,0,0,0.15087599999999998
6,inf,0.0,,0,0,0.22006399999999998
7,inf,0.0,,0,0,0.289252
