,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,19.59910913140312,797.6117588155354,0.16976431354230637,150,26,0.005412
1,32.47232472324724,804.192713921274,0.29142254496626163,0,0,0.008532
2,37.60683760683761,798.9279498366832,0.15850017844338793,0,0,0.010848
3,41.90476190476191,800.2441408578309,0.15003793595900766,0,0,0.013004
4,inf,1.0801564027370478,inf,0,0,0.08219599999999999
5,inf,0.0,,0,0,0.151384
6,inf,0.0,,0,0,0.220576
7,inf,0.0,,0,0,0.28975999999999996
