,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,20.803782505910167,798.4345898004434,0.22559797622764663,150,20,0.004768
1,32.47232472324724,801.5603318789786,0.27204045256356413,0,0,0.007756
2,39.46188340807175,798.9279498366832,0.22147608009541117,0,0,0.010012
3,41.706161137440766,798.9279498366832,0.08024228527256244,0,0,0.012107999999999999
4,inf,1.0801564027370478,inf,0,0,0.0813
5,inf,0.0,,0,0,0.15048799999999998
6,inf,0.0,,0,0,0.21968
7,inf,0.0,,0,0,0.288868
