,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,20.853080568720383,800.2441408578309,0.19092037185040786,150,32,0.00438
1,32.71375464684015,809.4574780058651,0.2726302970369681,0,0,0.007364
2,38.42794759825328,804.192713921274,0.1767322151650659,0,0,0.009583999999999999
3,41.90476190476191,805.5089049424219,0.12102916994760733,0,0,0.01176
4,inf,1.0801564027370478,inf,0,0,0.080952
5,inf,0.0,,0,0,0.15014
6,inf,0.0,,0,0,0.219332
7,inf,0.0,,0,0,0.288516
