,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,22.110552763819097,735.7507808215912,0.25391863344674737,250,15,0.00454
1,31.205673758865252,802.8765229001264,0.2115081970162674,0,0,0.007372
2,40.18264840182649,796.2955677943877,0.2841616145785172,0,0,0.009596
3,39.819004524886886,788.3984216675011,-0.013159536177293638,0,0,0.011779999999999999
4,inf,1.0801564027370478,inf,0,0,0.080972
5,inf,0.0,,0,0,0.15016
6,inf,0.0,,0,0,0.219352
7,inf,0.0,,0,0,0.28853999999999996
