,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,18.371607515657622,800.2441408578309,0.1481856490366065,150,26,0.0056879999999999995
1,31.205673758865252,805.5089049424219,0.27571673512953904,0,0,0.008879999999999999
2,37.60683760683761,800.2441408578309,0.1933918558389074,0,0,0.011212
3,41.509433962264154,800.2441408578309,0.13555991140675377,0,0,0.013375999999999999
4,inf,1.0801564027370478,inf,0,0,0.08256
5,inf,0.0,,0,0,0.151756
6,inf,0.0,,0,0,0.22094799999999998
7,inf,0.0,,0,0,0.290132
