,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,20.46511627906977,800.3831628638867,0.21598405886204794,150,20,0.005292
1,31.541218637992834,805.5089049424219,0.24960848969580005,0,0,0.008303999999999999
2,36.36363636363637,800.2441408578309,0.14377304880332756,0,0,0.010544
3,42.71844660194175,800.2441408578309,0.22064419988220332,0,0,0.012636
4,inf,1.0801564027370478,inf,0,0,0.081828
5,inf,0.0,,0,0,0.15101599999999998
6,inf,0.0,,0,0,0.220208
7,inf,0.0,,0,0,0.289392
