,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,20.902612826603328,798.9279498366832,0.1924610089558527,150,12,0.005059999999999999
1,32.00000000000001,805.5089049424219,0.2543981822347823,0,0,0.007991999999999999
2,39.111111111111114,800.2441408578309,0.22201727007845246,0,0,0.010204
3,41.90476190476191,797.6117588155354,0.10002670756954744,0,0,0.012275999999999999
4,inf,1.0801564027370478,inf,0,0,0.081464
5,inf,0.0,,0,0,0.15065199999999998
6,inf,0.0,,0,0,0.21984399999999998
7,inf,0.0,,0,0,0.289032
