,Velocities [m/s],Voltages [V],Efficiency [%],Windings [-],Positions [mm],Trigger times [s]
0,19.00647948164147,733.1183987792956,0.18897830947472463,150,20,0.0044199999999999995
1,31.65467625899281,802.8765229001264,0.2794879090097818,0,0,0.0075959999999999995
2,34.37500000000001,797.6117588155354,0.07938409518498615,0,0,0.009911999999999999
3,41.31455399061033,798.9279498366832,0.2313710996440645,0,0,0.012039999999999999
4,inf,1.0801564027370478,inf,0,0,0.081232
5,inf,0.0,,0,0,0.15042
6,inf,0.0,,0,0,0.219612
7,inf,0.0,,0,0,0.288804
